,lng,lat,type
295,108.97900700000001,34.277656,2.0
296,108.983199,34.301282,2.0
297,108.98006399999998,34.291303000000006,2.0
298,108.98524099999999,34.284595,2.0
299,108.982817,34.299999,2.0
300,108.98311399999999,34.299583,2.0
301,108.9821135,34.299602,2.0
302,108.981154,34.298963,3.0
303,108.987954,34.297107000000004,2.0
304,109.00128400000001,34.299483,2.0
305,108.943126,34.331638,2.0
306,109.029999,34.305586,2.0
307,109.01268200000001,34.290833,2.0
308,109.020278,34.274484,2.0
309,109.012653,34.279414,1.0
310,109.006041,34.281797,2.0
311,109.021772,34.306628,2.0
312,109.01276499999999,34.250707,2.0
313,108.97814,34.302698,2.0
314,109.007648,34.254332,3.0
315,109.01125400000001,34.25369,2.0
316,109.010178,34.271146,2.0
317,109.010218,34.277851,2.0
318,109.00925900000001,34.270299,2.0
319,109.009262,34.276427000000005,3.0
320,109.054024,34.249602,2.0
321,109.00923700000001,34.289815000000004,2.0
322,109.011032,34.286206,3.0
323,109.01226799999999,34.290833,2.0
324,109.015859,34.270687,3.0
325,109.024247,34.2651,3.0
326,109.02486499999999,34.246316,2.0
327,109.019107,34.308617,2.0
328,109.008951,34.27885,3.0
329,109.013572,34.251449,3.0
330,109.00917,34.291271,2.0
331,109.01076100000002,34.285967,3.0
332,109.01083500000001,34.267979,2.0
333,109.01633500000001,34.273037,2.0
334,109.01888400000001,34.270817,2.0
335,109.020133,34.268675,2.0
336,109.019056,34.266332,2.0
337,109.009474,34.261514,2.0
338,109.00406100000001,34.272698999999996,2.0
339,109.015413,34.259168,2.0
340,109.01900900000001,34.308343,2.0
341,109.02798899999999,34.264839,3.0
342,109.007672,34.300724,2.0
